DATE,BOROUGH,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,SCHOOLORGANICTONS,LEAVESORGANICTONS,XMASTREETONS
1992 / 03,Manhattan,43687.3,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 03,Queens,57854.3,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 03,Staten Island,12363.4,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 04,Bronx,37995.0,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 04,Brooklyn,80366.4,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 04,Manhattan,43477.7,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 04,Queens,63634.4,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 04,Staten Island,15197.5,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 05,Bronx,40029.9,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 05,Brooklyn,81322.3,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 05,Manhattan,43392.2,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 05,Queens,70384.9,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 05,Staten Island,17918.4,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 06,Bronx,42057.4,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 06,Brooklyn,85989.3,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 06,Manhattan,46106.1,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 06,Queens,73149.3,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 06,Staten Island,17792.2,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 07,Bronx,40425.8,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 07,Brooklyn,85149.4,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 07,Manhattan,43344.9,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 07,Queens,72177.4,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 07,Staten Island,16856.2,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 08,Bronx,39654.2,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 08,Brooklyn,80930.1,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 08,Manhattan,42765.6,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 08,Queens,67253.8,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 08,Staten Island,15463.3,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 09,Bronx,38737.8,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 09,Brooklyn,82182.59999999999,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 09,Manhattan,42453.5,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 09,Queens,65968.7,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 09,Staten Island,15041.2,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 10,Bronx,37828.4,0.0,0.0,0.0,0.0,0.0,0.0
