DATE,BOROUGH,POPULATION,POPULATION PERCENTAGE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN,TSUN
1991 / 10,Manhattan,1487536,20.31,,54.1,0,14.67,19.38,9.96,12435
1991 / 11,Manhattan,1487536,20.31,,49.8,0,9.05,12.85,5.24,7090
1991 / 12,Manhattan,1487536,20.31,,108.2,18,4.2,7.94,0.47,8739
1991 / 01,Queens,1951598,26.65,,85.8,214,1.59,5.12,-1.94,10885
1991 / 02,Queens,1951598,26.65,,49.1,231,4.41,8.65,0.17,10289
1991 / 03,Queens,1951598,26.65,,131,5,7,11.16,2.85,11233
1991 / 04,Queens,1951598,26.65,,93.5,0,13.15,18.02,8.27,12049
1991 / 05,Queens,1951598,26.65,,79.1,0,20.38,26.06,14.7,19145
1991 / 06,Queens,1951598,26.65,,105.7,0,23.37,29.12,17.61,18168
1991 / 07,Queens,1951598,26.65,,116.1,0,25.39,30.63,20.15,15810
1991 / 08,Queens,1951598,26.65,,181.3,0,25.05,30,20.1,17671
1991 / 09,Queens,1951598,26.65,,94.2,0,19.69,24.66,14.72,16300
1991 / 10,Queens,1951598,26.65,,54.1,0,14.67,19.38,9.96,12435
1991 / 11,Queens,1951598,26.65,,49.8,0,9.05,12.85,5.24,7090
1991 / 12,Queens,1951598,26.65,,108.2,18,4.2,7.94,0.47,8739
1991 / 01,Staten Island,378977,5.18,,85.8,214,1.59,5.12,-1.94,10885
1991 / 02,Staten Island,378977,5.18,,49.1,231,4.41,8.65,0.17,10289
1991 / 03,Staten Island,378977,5.18,,131,5,7,11.16,2.85,11233
1991 / 04,Staten Island,378977,5.18,,93.5,0,13.15,18.02,8.27,12049
1991 / 05,Staten Island,378977,5.18,,79.1,0,20.38,26.06,14.7,19145
1991 / 06,Staten Island,378977,5.18,,105.7,0,23.37,29.12,17.61,18168
1991 / 07,Staten Island,378977,5.18,,116.1,0,25.39,30.63,20.15,15810
1991 / 08,Staten Island,378977,5.18,,181.3,0,25.05,30,20.1,17671
1991 / 09,Staten Island,378977,5.18,,94.2,0,19.69,24.66,14.72,16300
1991 / 10,Staten Island,378977,5.18,,54.1,0,14.67,19.38,9.96,12435
1991 / 11,Staten Island,378977,5.18,,49.8,0,9.05,12.85,5.24,7090
1991 / 12,Staten Island,378977,5.18,,108.2,18,4.2,7.94,0.47,8739
1992 / 01,Bronx,1203789,16.44,,42.8,38,2.06,5.85,-1.72,9112
1992 / 02,Bronx,1203789,16.44,,47.4,25,2.42,6.21,-1.37,8620
1992 / 03,Bronx,1203789,16.44,,103.6,238,4.43,8.76,0.11,12344
1992 / 04,Bronx,1203789,16.44,,44.6,0,10.28,14.91,5.64,12515
1992 / 05,Bronx,1203789,16.44,,102.1,0,16.11,21.56,10.66,17373
1992 / 06,Bronx,1203789,16.44,,121.1,0,21.23,26.2,16.26,19449
1992 / 07,Bronx,1203789,16.44,,114.1,0,23.42,28.03,18.82,17501
1992 / 08,Bronx,1203789,16.44,,88.7,0,22.72,27.47,17.97,15052
1992 / 09,Bronx,1203789,16.44,,124.3,0,19.55,23.79,15.31,12240
1992 / 10,Bronx,1203789,16.44,,29.5,0,12.51,16.95,8.06,12393
1992 / 11,Bronx,1203789,16.44,,143.4,0,8.05,11.37,4.73,7982
1992 / 12,Bronx,1203789,16.44,,139.9,10,3.25,6.53,-0.02,7660
1992 / 01,Brooklyn,2300664,31.42,,42.8,38,2.06,5.85,-1.72,9112
1992 / 02,Brooklyn,2300664,31.42,,47.4,25,2.42,6.21,-1.37,8620
1992 / 03,Brooklyn,2300664,31.42,,103.6,238,4.43,8.76,0.11,12344
1992 / 04,Brooklyn,2300664,31.42,,44.6,0,10.28,14.91,5.64,12515
1992 / 05,Brooklyn,2300664,31.42,,102.1,0,16.11,21.56,10.66,17373
1992 / 06,Brooklyn,2300664,31.42,,121.1,0,21.23,26.2,16.26,19449
1992 / 07,Brooklyn,2300664,31.42,,114.1,0,23.42,28.03,18.82,17501
1992 / 08,Brooklyn,2300664,31.42,,88.7,0,22.72,27.47,17.97,15052
1992 / 09,Brooklyn,2300664,31.42,,124.3,0,19.55,23.79,15.31,12240
1992 / 10,Brooklyn,2300664,31.42,,29.5,0,12.51,16.95,8.06,12393
1992 / 11,Brooklyn,2300664,31.42,,143.4,0,8.05,11.37,4.73,7982
1992 / 12,Brooklyn,2300664,31.42,,139.9,10,3.25,6.53,-0.02,7660
1992 / 01,Manhattan,1487536,20.31,,42.8,38,2.06,5.85,-1.72,9112
1992 / 02,Manhattan,1487536,20.31,,47.4,25,2.42,6.21,-1.37,8620
1992 / 03,Manhattan,1487536,20.31,,103.6,238,4.43,8.76,0.11,12344
1992 / 04,Manhattan,1487536,20.31,,44.6,0,10.28,14.91,5.64,12515
1992 / 05,Manhattan,1487536,20.31,,102.1,0,16.11,21.56,10.66,17373
1992 / 06,Manhattan,1487536,20.31,,121.1,0,21.23,26.2,16.26,19449
1992 / 07,Manhattan,1487536,20.31,,114.1,0,23.42,28.03,18.82,17501
1992 / 08,Manhattan,1487536,20.31,,88.7,0,22.72,27.47,17.97,15052
1992 / 09,Manhattan,1487536,20.31,,124.3,0,19.55,23.79,15.31,12240
1992 / 10,Manhattan,1487536,20.31,,29.5,0,12.51,16.95,8.06,12393
1992 / 11,Manhattan,1487536,20.31,,143.4,0,8.05,11.37,4.73,7982
1992 / 12,Manhattan,1487536,20.31,,139.9,10,3.25,6.53,-0.02,7660
1992 / 01,Queens,1951598,26.65,,42.8,38,2.06,5.85,-1.72,9112
1992 / 02,Queens,1951598,26.65,,47.4,25,2.42,6.21,-1.37,8620
1992 / 03,Queens,1951598,26.65,,103.6,238,4.43,8.76,0.11,12344
1992 / 04,Queens,1951598,26.65,,44.6,0,10.28,14.91,5.64,12515
1992 / 05,Queens,1951598,26.65,,102.1,0,16.11,21.56,10.66,17373
1992 / 06,Queens,1951598,26.65,,121.1,0,21.23,26.2,16.26,19449
1992 / 07,Queens,1951598,26.65,,114.1,0,23.42,28.03,18.82,17501
1992 / 08,Queens,1951598,26.65,,88.7,0,22.72,27.47,17.97,15052
1992 / 09,Queens,1951598,26.65,,124.3,0,19.55,23.79,15.31,12240
1992 / 10,Queens,1951598,26.65,,29.5,0,12.51,16.95,8.06,12393
1992 / 11,Queens,1951598,26.65,,143.4,0,8.05,11.37,4.73,7982
1992 / 12,Queens,1951598,26.65,,139.9,10,3.25,6.53,-0.02,7660
1992 / 01,Staten Island,378977,5.18,,42.8,38,2.06,5.85,-1.72,9112
1992 / 02,Staten Island,378977,5.18,,47.4,25,2.42,6.21,-1.37,8620
1992 / 03,Staten Island,378977,5.18,,103.6,238,4.43,8.76,0.11,12344
1992 / 04,Staten Island,378977,5.18,,44.6,0,10.28,14.91,5.64,12515
1992 / 05,Staten Island,378977,5.18,,102.1,0,16.11,21.56,10.66,17373
1992 / 06,Staten Island,378977,5.18,,121.1,0,21.23,26.2,16.26,19449
1992 / 07,Staten Island,378977,5.18,,114.1,0,23.42,28.03,18.82,17501
1992 / 08,Staten Island,378977,5.18,,88.7,0,22.72,27.47,17.97,15052
1992 / 09,Staten Island,378977,5.18,,124.3,0,19.55,23.79,15.31,12240
1992 / 10,Staten Island,378977,5.18,,29.5,0,12.51,16.95,8.06,12393
1992 / 11,Staten Island,378977,5.18,,143.4,0,8.05,11.37,4.73,7982
1992 / 12,Staten Island,378977,5.18,,139.9,10,3.25,6.53,-0.02,7660
1993 / 01,Bronx,1203789,16.44,,87.4,38,2.4,5.87,-1.06,8642
1993 / 02,Bronx,1203789,16.44,,71.4,271,-0.69,3.93,-5.32,11515
1993 / 03,Bronx,1203789,16.44,,168.6,302,4.25,8.15,0.34,11206
1993 / 04,Bronx,1203789,16.44,,108.8,0,11.81,16.94,6.68,12201
1993 / 05,Bronx,1203789,16.44,,39.7,0,18.69,24.15,13.24,16802
1993 / 06,Bronx,1203789,16.44,,37.8,0,22.92,28.43,17.4,18712
1993 / 07,Bronx,1203789,16.44,,43.2,0,26.74,32.32,21.15,21423
1993 / 08,Bronx,1203789,16.44,,137.5,0,25.1,30,20.2,17164
1993 / 09,Bronx,1203789,16.44,,133.5,0,19.59,23.78,15.41,11597
1993 / 10,Bronx,1203789,16.44,,115.4,0,13.3,17.5,9.09,12787
1993 / 11,Bronx,1203789,16.44,,55.8,0,9.33,13.69,4.98,10606
1993 / 12,Bronx,1203789,16.44,,125.8,176,2.95,6.41,-0.51,8527
1993 / 01,Brooklyn,2300664,31.42,,87.4,38,2.4,5.87,-1.06,8642
1993 / 02,Brooklyn,2300664,31.42,,71.4,271,-0.69,3.93,-5.32,11515
1993 / 03,Brooklyn,2300664,31.42,,168.6,302,4.25,8.15,0.34,11206
1993 / 04,Brooklyn,2300664,31.42,,108.8,0,11.81,16.94,6.68,12201
1993 / 05,Brooklyn,2300664,31.42,,39.7,0,18.69,24.15,13.24,16802
1993 / 06,Brooklyn,2300664,31.42,,37.8,0,22.92,28.43,17.4,18712
1993 / 07,Brooklyn,2300664,31.42,,43.2,0,26.74,32.32,21.15,21423
1993 / 08,Brooklyn,2300664,31.42,,137.5,0,25.1,30,20.2,17164
1993 / 09,Brooklyn,2300664,31.42,,133.5,0,19.59,23.78,15.41,11597
1993 / 10,Brooklyn,2300664,31.42,,115.4,0,13.3,17.5,9.09,12787
1993 / 11,Brooklyn,2300664,31.42,,55.8,0,9.33,13.69,4.98,10606
1993 / 12,Brooklyn,2300664,31.42,,125.8,176,2.95,6.41,-0.51,8527
1993 / 01,Manhattan,1487536,20.31,,87.4,38,2.4,5.87,-1.06,8642
1993 / 02,Manhattan,1487536,20.31,,71.4,271,-0.69,3.93,-5.32,11515
1993 / 03,Manhattan,1487536,20.31,,168.6,302,4.25,8.15,0.34,11206
1993 / 04,Manhattan,1487536,20.31,,108.8,0,11.81,16.94,6.68,12201
1993 / 05,Manhattan,1487536,20.31,,39.7,0,18.69,24.15,13.24,16802
1993 / 06,Manhattan,1487536,20.31,,37.8,0,22.92,28.43,17.4,18712
1993 / 07,Manhattan,1487536,20.31,,43.2,0,26.74,32.32,21.15,21423
1993 / 08,Manhattan,1487536,20.31,,137.5,0,25.1,30,20.2,17164
1993 / 09,Manhattan,1487536,20.31,,133.5,0,19.59,23.78,15.41,11597
1993 / 10,Manhattan,1487536,20.31,,115.4,0,13.3,17.5,9.09,12787
1993 / 11,Manhattan,1487536,20.31,,55.8,0,9.33,13.69,4.98,10606
1993 / 12,Manhattan,1487536,20.31,,125.8,176,2.95,6.41,-0.51,8527
1993 / 01,Queens,1951598,26.65,,87.4,38,2.4,5.87,-1.06,8642
1993 / 02,Queens,1951598,26.65,,71.4,271,-0.69,3.93,-5.32,11515
1993 / 03,Queens,1951598,26.65,,168.6,302,4.25,8.15,0.34,11206
